number;lifetime;total dissipation;spatial linear size
29313;4;5.0;2.23606797749979
29314;1;1.0;0.0
29315;23;73.0;11.40175425099138
29316;3;4.0;1.4142135623730951
29317;4;4.0;2.23606797749979
29318;211;2797.0;71.7007670809734
29319;9;13.0;3.1622776601683795
29320;6;8.0;2.8284271247461903
29321;17;61.0;10.198039027185569
29322;322;4593.0;72.3394774656273
29323;3;4.0;1.4142135623730951
29324;191;1191.0;42.720018726587654
29325;10;14.0;2.23606797749979
29326;108;727.0;30.886890422961002
29327;45;346.0;17.4928556845359
29328;2;2.0;1.0
29329;45;243.0;15.620499351813308
29330;180;1073.0;55.60575509783138
29331;6;6.0;2.23606797749979
29332;165;1240.0;40.70626487409524
29333;94;1178.0;23.259406699226016
29334;5;6.0;3.1622776601683795
29335;11;13.0;4.47213595499958
29336;14;51.0;9.0
29337;4;4.0;2.23606797749979
29338;7;18.0;4.0
29339;198;2849.0;43.08131845707603
29340;54;225.0;18.027756377319946
29341;1;1.0;0.0
29342;8;9.0;4.242640687119285
29343;69;411.0;28.792360097775937
29344;191;2161.0;48.60041152089147
29345;99;705.0;47.80167361086848
29346;1;1.0;0.0
29347;1;1.0;0.0
29348;43;168.0;17.029386365926403
29349;38;206.0;15.297058540778355
29350;155;1406.0;30.805843601498726
29351;3;5.0;2.0
29352;96;807.0;38.600518131237564
29353;10;18.0;5.0
29354;14;17.0;6.708203932499369
29355;1;1.0;0.0
29356;20;67.0;9.219544457292887
29357;170;1828.0;31.400636936215164
29358;3;6.0;2.0
29359;49;367.0;21.095023109728988
29360;62;394.0;24.20743687382041
29361;18;34.0;9.848857801796104
29362;62;210.0;10.0
29363;8;21.0;4.123105625617661
29364;11;23.0;7.0710678118654755
29365;5;6.0;3.1622776601683795
29366;12;47.0;6.082762530298219
29367;189;3277.0;50.93132631298737
29368;4;6.0;2.23606797749979
29369;108;465.0;20.248456731316587
29370;310;4434.0;86.28441342444185
29371;2;2.0;1.0
29372;25;74.0;13.038404810405298
29373;133;1288.0;45.35416188179427
29374;26;93.0;11.704699910719626
29375;1;1.0;0.0
29376;1;1.0;0.0
29377;27;101.0;13.45362404707371
29378;162;2592.0;38.948684188300895
29379;78;798.0;32.7566787083184
29380;73;309.0;31.78049716414141
29381;10;19.0;4.123105625617661
29382;44;384.0;21.095023109728988
29383;5;7.0;2.23606797749979
29384;2;2.0;1.0
29385;3;4.0;1.4142135623730951
29386;34;149.0;15.0
29387;528;10135.0;96.33275663033837
29388;3;4.0;1.4142135623730951
29389;1;1.0;0.0
29390;45;294.0;25.612496949731394
29391;13;56.0;6.4031242374328485
29392;9;11.0;3.1622776601683795
29393;12;30.0;5.0
29394;3;3.0;2.0
29395;5;12.0;2.23606797749979
29396;1;1.0;0.0
29397;8;21.0;5.385164807134504
29398;7;9.0;3.1622776601683795
29399;3;3.0;2.0
29400;214;3092.0;41.182520563948
29401;1;1.0;0.0
29402;2;2.0;1.0
29403;708;17390.0;82.22530024268686
29404;8;11.0;4.0
29405;4;4.0;1.4142135623730951
29406;61;328.0;28.284271247461902
