number;lifetime;total dissipation;spatial linear size
1392;12;30.0;4.123105625617661
1393;7;9.0;2.8284271247461903
1394;1;1.0;0.0
1395;4;4.0;2.23606797749979
1396;1;1.0;0.0
1397;4;5.0;3.0
1398;2;2.0;1.0
1399;2;2.0;1.0
1400;1;1.0;0.0
1401;14;26.0;5.0
1402;5;7.0;2.23606797749979
1403;1;1.0;0.0
1404;3;3.0;1.4142135623730951
1405;2;2.0;1.0
1406;3;3.0;1.4142135623730951
1407;11;19.0;2.23606797749979
1408;1;1.0;0.0
1409;5;5.0;3.1622776601683795
1410;1;1.0;0.0
1411;4;4.0;3.0
1412;10;19.0;5.0
1413;8;12.0;3.605551275463989
1414;1;1.0;0.0
1415;1;1.0;0.0
1416;5;7.0;2.8284271247461903
1417;6;14.0;3.605551275463989
1418;2;3.0;1.0
1419;6;10.0;3.1622776601683795
1420;1;1.0;0.0
1421;4;9.0;2.23606797749979
1422;9;19.0;5.0990195135927845
1423;2;2.0;1.0
1424;9;17.0;4.47213595499958
1425;2;2.0;1.0
1426;9;19.0;4.47213595499958
1427;1;1.0;0.0
1428;1;1.0;0.0
1429;2;2.0;1.0
1430;1;1.0;0.0
1431;14;26.0;3.605551275463989
1432;14;26.0;6.4031242374328485
1433;1;1.0;0.0
1434;1;1.0;0.0
1435;3;5.0;2.0
1436;2;2.0;1.0
1437;6;14.0;3.605551275463989
1438;15;26.0;6.324555320336759
1439;2;2.0;1.0
1440;4;7.0;2.23606797749979
1441;7;8.0;2.23606797749979
1442;2;2.0;1.0
1443;1;1.0;0.0
1444;1;1.0;0.0
1445;4;8.0;2.23606797749979
1446;1;1.0;0.0
1447;1;1.0;0.0
1448;12;28.0;6.324555320336759
1449;1;1.0;0.0
1450;9;22.0;4.242640687119285
1451;3;4.0;1.4142135623730951
1452;4;4.0;2.23606797749979
1453;3;3.0;1.4142135623730951
1454;1;1.0;0.0
1455;4;7.0;2.23606797749979
1456;6;11.0;3.0
1457;7;7.0;4.242640687119285
1458;1;1.0;0.0
1459;7;12.0;3.605551275463989
1460;2;2.0;1.0
1461;1;1.0;0.0
1462;9;15.0;4.123105625617661
1463;7;10.0;3.1622776601683795
1464;5;10.0;3.1622776601683795
1465;1;1.0;0.0
1466;1;1.0;0.0
1467;14;44.0;6.708203932499369
1468;6;11.0;4.0
1469;1;1.0;0.0
1470;5;8.0;2.23606797749979
1471;4;4.0;2.23606797749979
1472;8;23.0;4.0
1473;7;8.0;3.1622776601683795
1474;4;5.0;2.23606797749979
1475;2;2.0;1.0
1476;13;38.0;8.06225774829855
1477;2;3.0;1.0
1478;4;6.0;2.23606797749979
1479;8;8.0;2.23606797749979
1480;1;1.0;0.0
1481;1;1.0;0.0
1482;4;6.0;2.23606797749979
1483;1;1.0;0.0
1484;17;31.0;6.708203932499369
1485;11;21.0;4.47213595499958
1486;4;6.0;2.23606797749979
1487;14;19.0;7.211102550927978
1488;3;3.0;1.4142135623730951
1489;2;2.0;1.0
1490;14;17.0;3.605551275463989
1491;7;8.0;3.1622776601683795
1492;2;3.0;1.0
1493;7;10.0;3.1622776601683795
1494;4;7.0;3.0
1495;19;35.0;7.810249675906654
1496;5;7.0;1.4142135623730951
1497;11;19.0;5.830951894845301
1498;1;1.0;0.0
1499;4;6.0;2.23606797749979
1500;5;7.0;3.1622776601683795
1501;5;7.0;1.4142135623730951
1502;2;2.0;1.0
1503;3;3.0;2.0
